Feature Model,Expert 1,Expert 2,Expert 3
Simple Drawing Tools,Good,Good,Good
e-commerce,Good,Bad,Moderate
Speech Recognition,Bad,Moderate,Moderate
PhotoSahring,Very Bad,Moderate,Bad
Windows70_Contrast,Moderate,Good,Moderate
Owncloud,Moderate,Bad,Moderate
USECASE_Test,Moderate,Very Bad,Good
WebApp,Very Good,Very Good,Very Good
VMTools-RA,Good,Moderate,Moderate
Jogo de Tiros,Bad,Bad,Bad
