Feature Model,Expert 4,Expert 5,Expert 6
Warren,Moderate,Good,Moderate
mac,Good,Very Bad,Bad
GoPhone,Very Good,Very Good,Bad
Thread,Bad,Moderate,Moderate
Devolution,Very Bad,Moderate,Moderate
Buzzard Radio play DB,Good,Moderate,Moderate
Jetbrains,Very Good,Very Good,Moderate
GMF_Eclipse_Reuso_UFRJ,Bad,Very Good,Good
MayaModel,Moderate,Moderate,Moderate
ModelTransformation,Very Bad,Very Bad,Bad
