Feature Model,Expert 10,Expert 11,Expert 12
Experiment environment,Bad,Moderate,Moderate
Bike Shop,Good,Good,Good
Toko,Bad,Bad,Moderate
ProfileItems,Very Bad,Very Bad,Very Bad
Ubuntu1204_TextSize,Very Good,Very Good,Bad
Documentation_Generation,Bad,Moderate,Bad
WebCollaborativeApplication,Moderate,Good,Good
FrameWorkProdemge,Moderate,Moderate,Very Good
e-foramation,Good,Good,Moderate
CFDP Library,Very Good,Good,Moderate
