Feature Model,Expert 13,Expert 14,Expert 15
Jetbrains,Very Good,Bad,Bad
SmartPhone Device,Good,Moderate,Good
DATABASE_TOOLS,Moderate,Very Bad,Bad
Hastane Randevu Sistem,Good,Good,Moderate
GitFlow,Good,Moderate,Very Bad
Assistencia domiciliar,Good,Bad,Very Good
ScrollingText,Bad,Bad,Bad
Student Attendance System,Moderate,Moderate,Moderate
SmartTV,Very Good,Very Bad,Very Bad
J2EE web architecture,Very Good,Very Bad,Very Bad
